question_id,chunk_id,question_text,chunk_text,person_1,person_2,person_3,final_label
q1,1505.06614v1_introduction_0005,"What problem, limitation, or research gap motivates a machine learning approach?","In order to better understand the problem , small practical example is now presented . Suppose the user wants to link two datasets of persons A and B , whose the variables Name , Address and Age are known . Suppose that Table A contains the following values : Table A : Data in the first dataset Unit Name Address Age a1 John A Smith 16 Main Street 16 a2 Javier Martinez 49 E Applecross Road 33 a3 Gillian Jones 645 Reading Aev 22 Furthermore , suppose that Table B contains the following values : Table B : Data in the second dataset Unit Name Address Age b1 J H Smith 16 Main St 17 b2 Haveir Marteenez 49 Aplecross Raod 36 b3 Jilliam Brown 123 Norcross Blvd 43 The matching table A × B contains two units referring probably to the same persons , that the method should individuate as matches : 'John A Smith ' with ' J H Smith ' and 'Javier Martinez ' with 'Haveir Marteenez ' . Modern record linkage begins with the pioneering work of Newcombe et al . [ 14 ] , who introduced odds ratio of frequencies and the decision rules for delineating matches and nonmatches . In recent years , advances have yielded computer system that incorporate sophisticated ideas from computer sciences , statistics and operational research [ 16 ] .",0,1,0,0
q1,1505.06614v1_introduction_0007,"What problem, limitation, or research gap motivates a machine learning approach?","Between these two sets , the intermediate set of the possible matches exists . The decision rule reported below helps to classify the pairs : • if R > U pper , then the pair ( a , b ) is a designated match , • if Lower ≤ R ≤ U pper , then the pair ( a , b ) is a designated potential match , • if R < Lower , then the pair ( a , b ) is a designated nonmatch . The estimation of the thresholds Upper and Lower is not easy in an objective way ; the choice is competence of the analyst . In the decision rule , three different sets were created : the designated matches , designated potential matches , designated nonmatches . They constitute the partition of the set of all the records in the space Γ in three subsets C 3 ( matches ) , C 2 ( potential matches ) and C 1 ( nonmatches ) , whose intersections are empty sets . The idea is to solve the record linkage problem as a multi-criteria based classification problem , whose a priori defined classes are the subsets of the partition . Without going into too much details , in the next section a brief introduction to the method Electre Tri is presented .",1,1,0,1
q1,1612.04858v1_abstract_0000,"What problem, limitation, or research gap motivates a machine learning approach?","The engineering of machine learning systems is still a nascent field ; relying on a seemingly daunting collection of quickly evolving tools and best practices . It is our hope that this guidebook will serve as a useful resource for machine learning practitioners looking to take advantage of Bayesian optimization techniques . We outline four example machine learning problems that can be solved using open source machine learning libraries , and highlight the benefits of using Bayesian optimization in the context of these common machine learning applications .",1,1,0,1
q1,1612.04858v1_introduction_0001,"What problem, limitation, or research gap motivates a machine learning approach?","Introduction Recently , there has been interest in applying Bayesian black-box optimization strategies to better conduct optimization over hyperparameter configurations of machine learning models and systems [ 19 ] [ 21 ] [ 11 ] . Most of these techniques require that the objective be a scalar value depending on the hyperparamter configuration x. x opt = arg max x∈X f ( x ) A more detailed introduction to Bayesian optimization and related techniques is provided in [ 8 ] . The focus of this guidebook is on demonstrating several example problems where Bayesian optimization provides a noted benefit . Our hope is to clearly show how Bayesian optimization can assist in better designing and optimizing real-world machine learning systems . All of the examples in this guidebook have corresponding code available on SigOpt 's example github repo .",1,0,0,0
q1,1612.07640v1_introduction_0006,"What problem, limitation, or research gap motivates a machine learning approach?","It is shown that the representation defines the upper-bound performances of machine learning algorithms [ 19 ] . However , it is difficult to know and determine what kind of good features should be designed . To alleviate this issue , feature extraction/selection methods , which can be regarded as a kind of information fusion , are performed between hand-crafted feature design and classification/regression models [ 20 ] , [ 21 ] , [ 22 ] . However , manually designing features for a complex domain requires a great deal of human labor and can not be updated on-line . At the same time , feature extraction/selection is another tricky problem , which involves prior selection of hyperparameters such as latent dimension . At last , the above three modules including feature design , feature extraction/selection and model training can not be jointly optimized which may hinder the final performance of the whole system . Deep learning based MHMS ( DL-based MHMS ) aim to extract hierarchical representations from input data by building deep neural networks with multiple layers of non-linear transformations . Intuitively , one layer operation can be regarded as a transformation from input values to output values .",1,1,1,1
q1,1612.07640v1_introduction_0007,"What problem, limitation, or research gap motivates a machine learning approach?","Deep learning based MHMS ( DL-based MHMS ) aim to extract hierarchical representations from input data by building deep neural networks with multiple layers of non-linear transformations . Intuitively , one layer operation can be regarded as a transformation from input values to output values . Therefore , the application of one layer can learn a new representation of the input data and then , the stacking structure of multiple layers can enable MHMS to learn complex concepts out of simpler concepts that can be constructed from raw input . In addition , DL-based MHMS achieve an end-to-end system , which can automatically learn internal representations from raw input and predict targets . Compared to conventional data driven MHMS , DL-based MHMS do not require extensive human labor and knowledge for handcrafted feature design . All model parameters including feature module and pattern classification/regression module can be trained jointly . Therefore , DL-based models can be applied to addressing machine health monitoring in a very general way . For example , it is possible that the model trained for fault diagnosis problem can be used for prognosis by only replacing the top softmax layer with a linear regression layer . The comparison between conventional data-driven MHMS and DL-based MHMS is given in Table I . A high-level illustration of the principles behind these three kinds of MHMS discussed above is shown in Figure 1 .",1,1,0,1
q1,1703.10121v1_introduction_0001,"What problem, limitation, or research gap motivates a machine learning approach?","Introduction In 2007 , a paper named `` Top 10 algorithms in data mining '' identified and presented the top 10 most influential data mining algorithms within the research community [ 1 ] . The selection criteria were created by consolidating direct nominations from award winning researchers , the research community opinions and the number of citations in Google Scholar . The top 10 algorithms in that prior work are : C4.5 , k-means , support vector machine , Apriori , EM , PageRank , Ad-aBoost , kNN , naive Bayes and CART . In the decade that passed since then , machine learning has expanded , responding to incremental development of computational capabilities and substantial increase of problems in the commercial applications . This study reflects on the top 10 most popular fields of active research in machine learning , as they emerged from the quantitative analysis of leading journals and conferences . This work sees some topics in the broader sense including not only models but also concepts like data sets , features , optimization techniques and evaluation metrics . This wider view on the entire machine learning field is largely ignored in the literature by keeping a strong focus entirely on models [ 2 ] . Our core contribution in this study is that we provide a clear view of the active research in machine learning by relying solely on a quantitative methodology without interviewing experts .",1,0,0,0
q1,1706.05749v1_abstract_0000,"What problem, limitation, or research gap motivates a machine learning approach?","This paper introduces Dex , a reinforcement learning environment toolkit specialized for training and evaluation of continual learning methods as well as general reinforcement learning problems . We also present the novel continual learning method of incremental learning , where a challenging environment is solved using optimal weight initialization learned from first solving a similar easier environment . We show that incremental learning can produce vastly superior results than standard methods by providing a strong baseline method across ten Dex environments . We finally develop a saliency method for qualitative analysis of reinforcement learning , which shows the impact incremental learning has on network attention .",1,0,0,0
q1,1706.05749v1_introduction_0001,"What problem, limitation, or research gap motivates a machine learning approach?","Introduction Complex environments such as Go , Starcraft , and many modern video-games present profound challenges in deep reinforcement learning that have yet to be solved . They often require long , precise sequences of actions and domain knowledge in order to obtain reward , and have yet to be learned from random weight initialization . Solutions to these problems would mark a significant breakthrough on the path to artificial general intelligence . Recent works in reinforcement learning have shown that environments such as Atari games [ 2 ] can be learned from pixel input to superhuman expertise [ 9 ] . The agents start with randomly initialized weights , and learn largely from trial and error , relying on a reward signal to indicate performance . Despite these successes , complex games , including those where rewards are sparse such as Montezuma 's Revenge , have been notoriously difficult to learn . While methods such as intrinsic motivation [ 3 ] have been used to partially overcome these challenges , we suspect this becomes intractable as complexity increases . Additionally , as environments become more complex , they will become more expensive to simulate . This poses a significant problem , since many Atari games already require upwards of 100 million steps using state-of-the-art algorithms , representing days of training on a single machine .",1,1,1,1
q1,1706.05749v1_introduction_0002,"What problem, limitation, or research gap motivates a machine learning approach?","Additionally , as environments become more complex , they will become more expensive to simulate . This poses a significant problem , since many Atari games already require upwards of 100 million steps using state-of-the-art algorithms , representing days of training on a single machine . Thus , it appears likely that complex environments will become too costly to learn from randomly initialized weights , due both to the increased simulation cost as well as the inherent difficulty of the task . Therefore , some form of prior information must be given to the agent . This can be seen with AlphaGo [ 18 ] , where the agent never learned to play the game without first using supervised learning on human games . While supervised learning certainly has been shown to aid reinforcement learning , it is very costly to obtain sufficient samples and requires the environment to be a task humans can play with reasonable skill , and is therefore impractical for a wide variety of important reinforcement learning problems . In this paper we introduce Dex , the first continual reinforcement learning toolkit for training and evaluating continual learning methods . We present and demonstrate a novel continual learning method we call incremental learning to solve complex environments . In incremental learning , environments are framed as a task to be learned by an agent .",1,1,1,1
q2,1501.04309v1_introduction_0001,What is the central idea or key contribution of a machine learning approach?,"Introduction Machine learning is the study and construction of systems that can learn from data . The systems are called learning machines . When Big Data emerges increasingly , more learning machines are developed and applied in different domains . However , the ultimate goal of machine learning study is insight , not machine itself . By the term insight I mean learning mechanisms in descriptions of mathematical principles . In a loose sense , learning mechanisms can be regarded as the natural entity . As the `` Tao ( 道 ) '' reflects the most fundamental of the universe by Lao Tzu ( 老子 ) , Einstein suggests that we should pursue the simplest mathematical interpretations to the nature . Although learning mechanisms are related to the subjects of psychology , cognitive and brain science , this paper stresses on the exploration of mathematical principles for interpretation of learning mechanisms . Up to now , we human beings are still far away from deep understanding ourself on learning mechanisms in terms of mathematical principles . It is the author 's belief that `` mathematical-principle-based machine '' might be more important and critical than `` brain-inspired machine '' in the study of machine learning . The purpose of this position paper is to put forward a new perspective and a novel conjecture within the study of machine learning .",1,0,0,0
q2,1501.04309v1_introduction_0002,What is the central idea or key contribution of a machine learning approach?,"It is the author 's belief that `` mathematical-principle-based machine '' might be more important and critical than `` brain-inspired machine '' in the study of machine learning . The purpose of this position paper is to put forward a new perspective and a novel conjecture within the study of machine learning . In what follows I will present four basic problems ( or levels ) in machine learning . The study on information theoretical learning is briefly reviewed . A theorem between the empirically-defined similarity measures and information measures are given . Based on the existing investigations , a conjecture is proposed in this paper .",1,0,0,0
q2,1612.07640v1_introduction_0008,What is the central idea or key contribution of a machine learning approach?,"The comparison between conventional data-driven MHMS and DL-based MHMS is given in Table I . A high-level illustration of the principles behind these three kinds of MHMS discussed above is shown in Figure 1 . Deep learning models have several variants such as Auto-Dncoders [ 23 ] , Deep Belief Network [ 24 ] , Deep Boltzmann Machines [ 25 ] , Convolutional Neural Networks [ 26 ] and Recurrent Neural Networks [ 27 ] . During recent years , various researchers have demonstrated success of these deep learning models in the application of machine health monitoring . This paper attempts to provide a wide overview on these latest DL-based MHMS works that impact the state-of-the art technologies . Compared to these frontiers of deep learning including Computer Vision and Natural Language Processing , machine health monitoring community is catching up and has witnessed an emerging research . Therefore , the purpose of this survey article is to present researchers and engineers in the area of machine health monitoring system , a global view of this hot and active topic , and help them to acquire basic knowledge , quickly apply deep learning models and develop novel DL-based MHMS . The remainder of this paper is organized as follows . The basic information on these above deep learning models are given in section II . Then , section III reviews applications of deep learning models on machine health monitoring .",1,0,0,0
q2,1706.05749v1_abstract_0000,What is the central idea or key contribution of a machine learning approach?,"This paper introduces Dex , a reinforcement learning environment toolkit specialized for training and evaluation of continual learning methods as well as general reinforcement learning problems . We also present the novel continual learning method of incremental learning , where a challenging environment is solved using optimal weight initialization learned from first solving a similar easier environment . We show that incremental learning can produce vastly superior results than standard methods by providing a strong baseline method across ten Dex environments . We finally develop a saliency method for qualitative analysis of reinforcement learning , which shows the impact incremental learning has on network attention .",1,0,1,1
q2,1706.05749v1_introduction_0002,What is the central idea or key contribution of a machine learning approach?,"Additionally , as environments become more complex , they will become more expensive to simulate . This poses a significant problem , since many Atari games already require upwards of 100 million steps using state-of-the-art algorithms , representing days of training on a single machine . Thus , it appears likely that complex environments will become too costly to learn from randomly initialized weights , due both to the increased simulation cost as well as the inherent difficulty of the task . Therefore , some form of prior information must be given to the agent . This can be seen with AlphaGo [ 18 ] , where the agent never learned to play the game without first using supervised learning on human games . While supervised learning certainly has been shown to aid reinforcement learning , it is very costly to obtain sufficient samples and requires the environment to be a task humans can play with reasonable skill , and is therefore impractical for a wide variety of important reinforcement learning problems . In this paper we introduce Dex , the first continual reinforcement learning toolkit for training and evaluating continual learning methods . We present and demonstrate a novel continual learning method we call incremental learning to solve complex environments . In incremental learning , environments are framed as a task to be learned by an agent .",1,1,1,1
q2,1706.05749v1_introduction_0003,What is the central idea or key contribution of a machine learning approach?,"In this paper we introduce Dex , the first continual reinforcement learning toolkit for training and evaluating continual learning methods . We present and demonstrate a novel continual learning method we call incremental learning to solve complex environments . In incremental learning , environments are framed as a task to be learned by an agent . This task can be split into a series of subtasks that are solved simultaneously . Similar to how natural language processing and object detection are subtasks of neural image caption generation [ 23 ] , reinforcement learning environments also have subtasks relevant to a given environment . These subtasks often include player detection , player control , obstacle detection , enemy detection , and player-object interaction , to name a few . These subtasks are common to many environments , but they are often sufficiently different in function and representation that reinforcement learning algorithms fail to generalize them across environments , such as in Atari . These critical subtasks are what expert humans utilize to quickly learn in new environments that share subtasks with previously learned environments , and are a reason for humans superior data efficiency in learning complex tasks .",1,1,1,1
q2,1811.04871v1_abstract_0000,What is the central idea or key contribution of a machine learning approach?,"Academic literature on machine learning modeling fails to address how to make machine learning models work for enterprises . For example , existing machine learning processes can not address how to define business use cases for an AI application , how to convert business requirements from offering managers into data requirements for data scientists , and how to continuously improve AI applications in term of accuracy and fairness , how to customize general purpose machine learning models with industry , domain , and use case specific data to make them more accurate for specific situations etc . Making AI work for enterprises requires special considerations , tools , methods and processes . In this paper we present a maturity framework for machine learning model lifecycle management for enterprises . Our framework is a re-interpretation of the software Capability Maturity Model ( CMM ) for machine learning model development process .",1,1,1,1
q2,1811.04871v1_abstract_0001,What is the central idea or key contribution of a machine learning approach?,In this paper we present a maturity framework for machine learning model lifecycle management for enterprises . Our framework is a re-interpretation of the software Capability Maturity Model ( CMM ) for machine learning model development process . We present a set of best practices from authors ' personal experience of building large scale real-world machine learning models to help organizations achieve higher levels of maturity independent of their starting point .,1,1,1,1
q2,1907.07543v1_introduction_0005,What is the central idea or key contribution of a machine learning approach?,"Howard & Ruder ( 2018 ) note , and Devlin et . al . ( 2018 ) hypothesize that their respective approaches can be used with low quantities of data to give good results . However , in sources such as ( Howard & Ruder , 2018 ) , results on low-shot learning are presented relative to training deep models from scratch , but as mentioned in ( Goodfellow , Bengio , & Courville , 2016 ) , deep learning generally only achieves reasonable performance at about 5000 examples per class and is therefore not necessarily the best paradigm at these scales . This is shown quantitatively in ( Chen , Mckeever , & Delany , 2018 ) where , at scales of 2000+ labels per class , an SVM outperforms several deep learning approaches on text classification tasks . As such , we propose that to evaluate the low-shot learning benefits of deep transfer learning models , we should in fact look at performance against the strongest classical machine learning methods . However , we have yet to find a comprehensive quantitative study performing this analysis and show that low-shot transfer learning in NLP is actually the optimal approach when dealing with small quantities of data . In this paper we attempt to answer this question in the context of classification tasks .",1,1,1,1
q2,1907.07543v1_introduction_0006,What is the central idea or key contribution of a machine learning approach?,"However , we have yet to find a comprehensive quantitative study performing this analysis and show that low-shot transfer learning in NLP is actually the optimal approach when dealing with small quantities of data . In this paper we attempt to answer this question in the context of classification tasks . What is the best paradigm to use in the case where we have 100 -1000 labelled training examples per class -classical machine learning or deep transfer learning ? We seek to compare the best-in-class approaches from both deep transfer learning and classical machine learning by training a variety of models and evaluating by analysing intra-domain and inter-domain performance ( details in section 2 ) . The choice of 100 -1000 is motivated by the amount of data feasible for companies and researchers to tag in-house , as well as the scale of data occurring organically through other means . For example , in marketing these figures typically represent the base sizes of surveys that can be used as training data . The rest of this paper is laid out as follows . Section 2 details the datasets we use . Section 3 looks at the methodology used to evaluate the optimal paradigm . In section 4 we present the algorithms we use to test , along with related work influencing our choices in selecting those models .",1,1,1,1
q2,1907.07543v1_introduction_0007,What is the central idea or key contribution of a machine learning approach?,"The rest of this paper is laid out as follows . Section 2 details the datasets we use . Section 3 looks at the methodology used to evaluate the optimal paradigm . In section 4 we present the algorithms we use to test , along with related work influencing our choices in selecting those models . Section 5 details our experiments including choosing the optimal configuration of hyperparameters and preprocessing for each algorithm . In section 6 we present the results followed by our comments and conclusions . Finally , we highlight a few key points and considerations worthy of mention for the two paradigms in 7 .",0,1,1,1
q2,2006.15680v1_introduction_0004,What is the central idea or key contribution of a machine learning approach?,"The common approach among practitioners in the field , when dealing with a new data set , seems to be : try as many different ML algorithms as possible in a cross-validation , and evaluate the outcomes ; then focus on the techniques that provided the best results , possibly applying them in an ensemble [ 13 ] . Taking inspiration from [ 14 ] , where the authors find links between data set characteristics and efficiency of feature selection techniques , we propose to empirically explore the relation between data-set characteristics and effectiveness of standard ML models , in order to obtain a general meta-model able to extrapolate . In order to answer the question , we analyzed 109 publicly available classification data sets from open-access , curated sources . We decided to focus on classification , as supervised ML represents a quite significant portion of real-world problems ; and , differently from regression , several sophisticated quality metrics have already been developed for this task [ 15 ] . During the analysis , we take into account characteristics such as number of features , number of classes , number of samples , and we look for correlations with quality metrics , such as accuracy of a ML model on training and test points .",1,1,1,1
q2,2103.11249v1_abstract_0000,What is the central idea or key contribution of a machine learning approach?,"One of the pillars of any machine learning model is its concepts . Using software engineering , we can engineer these concepts and then develop and expand them . In this article , we present a SELM framework for Software Engineering of machine Learning Models . We then evaluate this framework through a case study . Using the SELM framework , we can improve a machine learning process efficiency and provide more accuracy in learning with less processing hardware resources and a smaller training dataset . This issue highlights the importance of an interdisciplinary approach to machine learning . Therefore , in this article , we have provided interdisciplinary teams ' proposals for machine learning .",1,1,1,1
q2,2110.12773v1_abstract_0001,What is the central idea or key contribution of a machine learning approach?,"This is due to many different machine learning frameworks , computer architectures , and machine learning models . Historically , for modelling and simulation on HPC systems such problems have been addressed through benchmarking computer applications , algorithms , and architectures . Extending such a benchmarking approach and identifying metrics for the application of machine learning methods to scientific datasets is a new challenge for both scientists and computer scientists . In this paper , we describe our approach to the development of scientific machine learning benchmarks and review other approaches to benchmarking scientific machine learning .",1,1,1,1
q2,2205.00210v1_introduction_0003,What is the central idea or key contribution of a machine learning approach?,"This means that for constant test inputs and preconditions , an ML-trained software component can produce different outputs in consecutive runs . Researchers have tried using testing techniques from traditional software development ( Hutchison et al . 2018 ) , to deal with some of these challenges . However , it has been observed that traditional testing approaches in general fail to adequately address fundamental challenges of testing ML ( Helle and Schamai 2016 ) , and that these traditional approaches require adaptation to the new context of ML . The better we understand current research challenges of testing ML , the more successful we can be in developing novel techniques that effectively address these challenges and advance this scientific field . In this paper , we : i ) identify and discuss the most challenging areas in software testing for ML , ii ) synthesize the most promising approaches to these challenges , iii ) spotlight their limitations , and iv ) make recommendations of further research efforts on software testing of ML . We note that the aim of the paper is not to exhaustively list all published work , but distill the most representative work .",1,0,0,0
q2,2205.14136v1_introduction_0003,What is the central idea or key contribution of a machine learning approach?,"As another example , if there is an anomalous drop in purchase of a product in an online store , it is possible that the product is out of stock , which needs attention . The state-of-the-art technique Fig . 1 . A New Framework for Anomaly Detection for anomaly detection is machine learning [ 4 ] , [ 7 ] , [ 9 ] , [ 11 ] , [ 12 ] , [ 14 ] . Machine learning techniques learn distributions on continuous variables . Anomaly events can be captured as deviations from established patterns ( distributions ) . However , there are certain temporal behaviors and relations that can not be easily learned by machine learning techniques , but can be easily characterized by formal languages such as PSL . In this paper , we propose a new framework called TEmporal Filtering ( TEF ) for anomaly detection ( Fig . 1 ) . The idea is to merge machine learning with PSL monitors . The machine learning module takes as input a number of continuous variables x 1 , x 2 , . . . . . . , x m , and outputs some discrete events y 1 , y 2 , . . . . . . , y n , which become the input of the PSL monitor .",1,1,1,1
q2,2305.00520v1_abstract_0000,What is the central idea or key contribution of a machine learning approach?,"Transfer learning is an essential tool for improving the performance of primary tasks by leveraging information from auxiliary data resources . In this work , we propose Adaptive Robust Transfer Learning ( ART ) , a flexible pipeline of performing transfer learning with generic machine learning algorithms . We establish the non-asymptotic learning theory of ART , providing a provable theoretical guarantee for achieving adaptive transfer while preventing negative transfer . Additionally , we introduce an ART-integrated-aggregating machine that produces a single final model when multiple candidate algorithms are considered . We demonstrate the promising performance of ART through extensive empirical studies on regression , classification , and sparse learning . We further present a real-data analysis for a mortality study .",1,1,1,1
q2,2401.11351v2_introduction_0011,What is the central idea or key contribution of a machine learning approach?,"We have structured our review as follows . In section 2 , we focus on the historical and ongoing developments in Quantum Machine Learning ( QML ) during the Noisy Intermediate-Scale Quantum ( NISQ ) era . Within this era , one of the central frameworks is the Variational Quantum Algorithm ( VQA ) [ 17 , 44 , 108 ] , which we explore in detail in section 2.1 . VQA comprises four key elements : the choice of an objective function ( discussed in section 2.1.1 ) , the employment of Parameterized Quantum Circuits ( PQC ) with adjustable parameters optimized by classical algorithms ( covered in section 2.1.2 ) , measurement strategies ( explored in section 2.1.3 ) , and the classical optimizer responsible for minimizing the objective function ( explained in section 2.1.4 ) . Subsequently , we provide insights into the construction of the Quantum Neural Tangent Kernel ( QNTK ) [ 87 ] in section 2.2 , offering a theoretical foundation for quantum neural networks and an understanding of stochastic gradient descent dynamics from first principles . Finally , we address the issue of barren plateaus in section 2.3 , approaching this topic through the lens of quantum landscape theory [ 27 ] . Additionally , we present an alternative formulation of laziness [ 86 ] , providing another perspective on the same problem .",1,1,1,1
